Id,Time[ns],0:I²C: Address/Data
235,1928854384.00,Data read: 00
236,1928934386.00,ACK
237,1928947082.00,Data read: 00
238,1929027084.00,ACK
239,1929039680.00,Data read: 47
240,1929119684.00,ACK
241,1929132380.00,Data read: 07
242,1929212380.00,NACK
243,1929232182.00,Stop
244,2032917076.00,Start
245,2032927194.00,Address write: 40
246,2032997190.00,Write
247,2033007190.00,ACK
248,2033019936.00,Data write: 02
249,2033099938.00,ACK
250,2033112586.00,Data write: 5A
251,2033192586.00,ACK
252,2033212284.00,Stop
253,2510648632.00,Start
254,2510658752.00,Address write: 40
255,2510728748.00,Write
256,2510738746.00,ACK
257,2510751494.00,Data write: 00
258,2510831494.00,ACK
259,2510851630.00,Start repeat
260,2510861722.00,Address read: 41
261,2510931718.00,Read
262,2510941718.00,ACK
263,2510954216.00,Data read: 00
264,2511034216.00,NACK
265,2511054042.00,Stop
266,2640243594.00,Start
267,2640253714.00,Address write: 40
268,2640323708.00,Write
269,2640333708.00,ACK
270,2640346530.00,Data write: 20
271,2640426532.00,ACK
272,2640439154.00,Data write: 6D
273,2640519154.00,ACK
274,2640531800.00,Data write: AC
275,2640611804.00,ACK
276,2640624402.00,Data write: 01
277,2640704402.00,ACK
278,2640717050.00,Data write: 22
279,2640797052.00,ACK
280,2640809650.00,Data write: 00
281,2640889650.00,ACK
282,2640902298.00,Data write: 00
283,2640982298.00,ACK
284,2640994896.00,Data write: 04
285,2641074896.00,ACK
286,2641087546.00,Data write: 02
287,2641167546.00,ACK
288,2641180144.00,Data write: 00
289,2641260146.00,ACK
290,2641272792.00,Data write: 20
291,2641352792.00,ACK
292,2641365390.00,Data write: 00
293,2641445392.00,ACK
294,2641458040.00,Data write: 00
295,2641538040.00,ACK
296,2641550638.00,Data write: 28
297,2641630640.00,ACK
298,2641643286.00,Data write: 06
299,2641723288.00,ACK
300,2641736184.00,Data write: 00
301,2641816188.00,ACK
302,2641828834.00,Data write: 20
303,2641908834.00,ACK
304,2641921432.00,Data write: D5
305,2642001434.00,ACK
306,2642014082.00,Data write: 00
307,2642094082.00,ACK
308,2642106680.00,Data write: 00
309,2642186682.00,ACK
310,2642199330.00,Data write: 00
311,2642279330.00,ACK
