Id,Time[ns],0:I²C: Address/Data
242,1537359804.00,ACK
243,1537364790.00,Data write: 22
244,1537387294.00,ACK
245,1537392338.00,Data write: 00
246,1537414822.00,ACK
247,1537419838.00,Data write: 00
248,1537442352.00,ACK
249,1537447388.00,Data write: 04
250,1537469902.00,ACK
251,1537474888.00,Data write: 02
252,1537497384.00,ACK
253,1537502436.00,Data write: 00
254,1537524972.00,ACK
255,1537529986.00,Data write: 20
256,1537552482.00,ACK
257,1537557536.00,Data write: 00
258,1537580054.00,ACK
259,1537585060.00,Data write: 00
260,1537607562.00,ACK
261,1537612586.00,Data write: 28
262,1537635068.00,ACK
263,1537640086.00,Data write: 06
264,1537662578.00,ACK
265,1537667634.00,Data write: 00
266,1537690126.00,ACK
267,1537695134.00,Data write: 20
268,1537717638.00,ACK
269,1537722680.00,Data write: D5
270,1537745166.00,ACK
271,1537750184.00,Data write: 00
272,1537772678.00,ACK
273,1537777732.00,Data write: 00
274,1537800228.00,ACK
275,1537805232.00,Data write: 00
276,1537827732.00,ACK
277,1537832780.00,Data write: EB
278,1537855284.00,ACK
279,1537860282.00,Data write: 00
280,1537882790.00,ACK
281,1537887856.00,Data write: 00
282,1537910380.00,ACK
283,1537915382.00,Data write: 00
284,1537937868.00,ACK
285,1537942980.00,Data write: 69
286,1537965482.00,ACK
287,1537970530.00,Data write: 06
288,1537993012.00,ACK
289,1537998080.00,Data write: 00
290,1538020600.00,ACK
291,1538025580.00,Data write: 00
292,1538048088.00,ACK
293,1538053154.00,Data write: 00
294,1538075654.00,ACK
295,1538080654.00,Data write: 00
296,1538103160.00,ACK
297,1538108178.00,Data write: 00
298,1538130666.00,ACK
299,1538135678.00,Data write: 00
300,1538158174.00,ACK
301,1538163228.00,Data write: 00
302,1538185702.00,ACK
303,1538190678.00,Data write: 00
304,1538213166.00,ACK
305,1538218228.00,Data write: 00
306,1538240712.00,ACK
307,1538245726.00,Data write: 00
308,1538268242.00,ACK
309,1538273276.00,Data write: 00
310,1538295766.00,ACK
311,1538300776.00,Data write: 00
312,1538323272.00,ACK
313,1538328324.00,Data write: 00
314,1538350820.00,ACK
315,1538355824.00,Data write: 00
316,1538378326.00,ACK
317,1538383374.00,Data write: 00
318,1538405874.00,ACK
319,1538410874.00,Data write: 00
320,1538433378.00,ACK
321,1538438424.00,Data write: 00
322,1538460924.00,ACK
323,1538465924.00,Data write: 00
324,1538488412.00,ACK
325,1538493472.00,Data write: 00
326,1538515962.00,ACK
327,1538520972.00,Data write: 00
328,1538543472.00,ACK
329,1538548522.00,Data write: 00
330,1538571002.00,ACK
331,1538575972.00,Data write: 00
332,1538598450.00,ACK
333,1538603472.00,Data write: 00
334,1538625978.00,ACK
335,1538630970.00,Data write: 00
336,1538653486.00,ACK
337,1538658546.00,Data write: 00
338,1538681058.00,ACK
339,1538686070.00,Data write: 00
340,1538708590.00,ACK
341,1538713644.00,Data write: 00
342,1538736180.00,ACK
343,1538741170.00,Data write: 00
344,1538763666.00,ACK
345,1538768720.00,Data write: 00
346,1538791216.00,ACK
347,1538796218.00,Data write: 00
348,1538818720.00,ACK
349,1538823764.00,Data write: EF
350,1538846244.00,ACK
351,1538851242.00,Data write: 00
352,1538873758.00,ACK
353,1538878816.00,Data write: 00
354,1538901306.00,ACK
355,1538910264.00,Data write: 00
356,1538932768.00,ACK
357,1538937866.00,Data write: 00
358,1538960380.00,ACK
359,1538965440.00,Data write: 00
360,1538987972.00,ACK
361,1538993040.00,Data write: 00
362,1539015536.00,ACK
363,1539020540.00,Data write: 00
364,1539043048.00,ACK
365,1539048114.00,Data write: 00
366,1539070594.00,ACK
367,1539075564.00,Data write: 00
368,1539098064.00,ACK
369,1539103114.00,Data write: 00
370,1539125596.00,ACK
371,1539130614.00,Data write: 00
372,1539153124.00,ACK
373,1539158160.00,Data write: F1
374,1539180670.00,ACK
375,1539185664.00,Data write: 00
376,1539208156.00,ACK
377,1539213212.00,Data write: 00
378,1539235722.00,ACK
379,1539240736.00,Data write: 00
380,1539263252.00,ACK
381,1539268312.00,Data write: 1D
382,1539290838.00,ACK
383,1539295836.00,Data write: 0A
384,1539318328.00,ACK
385,1539323362.00,Data write: 00
386,1539345854.00,ACK
387,1539350860.00,Data write: 00
388,1539373362.00,ACK
389,1539378408.00,Data write: F5
390,1539400892.00,ACK
391,1539405910.00,Data write: 09
392,1539428398.00,ACK
393,1539433458.00,Data write: 00
394,1539455948.00,ACK
395,1539460958.00,Data write: 00
396,1539483456.00,ACK
397,1539488506.00,Data write: FD
398,1539511022.00,ACK
399,1539516032.00,Data write: 09
400,1539538550.00,ACK
401,1539543608.00,Data write: 00
402,1539566140.00,ACK
403,1539571156.00,Data write: 00
404,1539593646.00,ACK
405,1539598706.00,Data write: 00
406,1539621194.00,ACK
407,1539626206.00,Data write: 00
408,1539648718.00,ACK
409,1539653756.00,Data write: 00
410,1539676244.00,ACK
411,1539681256.00,Data write: 00
412,1539703752.00,ACK
413,1539708806.00,Data write: 00
414,1539731300.00,ACK
415,1539736306.00,Data write: 00
416,1539758806.00,ACK
417,1539763854.00,Data write: 00
418,1539786354.00,ACK
419,1539791354.00,Data write: 00
420,1539813860.00,ACK
421,1539818928.00,Data write: 00
422,1539841446.00,ACK
423,1539846454.00,Data write: 00
424,1539868930.00,ACK
425,1539873954.00,Data write: 00
426,1539896460.00,ACK
427,1539901452.00,Data write: 00
428,1539923966.00,ACK
429,1539929052.00,Data write: 35
430,1539951552.00,ACK
431,1539956626.00,Data write: 01
432,1539979144.00,ACK
433,1539984252.00,Data write: 00
434,1540006756.00,ACK
435,1540011752.00,Data write: 00
436,1540034264.00,ACK
437,1540039326.00,Data write: 00
438,1540061852.00,ACK
439,1540066850.00,Data write: 00
440,1540089336.00,ACK
441,1540094400.00,Data write: 00
442,1540116880.00,ACK
443,1540121900.00,Data write: 00
444,1540144410.00,ACK
445,1540149450.00,Data write: 00
446,1540171936.00,ACK
447,1540176948.00,Data write: 00
448,1540199444.00,ACK
449,1540204498.00,Data write: 00
450,1540226992.00,ACK
451,1540231998.00,Data write: 00
452,1540254498.00,ACK
453,1540259544.00,Data write: EB
454,1540282044.00,ACK
455,1540287048.00,Data write: 06
456,1540309554.00,ACK
457,1540314622.00,Data write: 00
458,1540337102.00,ACK
459,1540342096.00,Data write: 00
460,1540364590.00,ACK
461,1540369644.00,Data write: F3
462,1540392146.00,ACK
463,1540397146.00,Data write: 06
